siteName,siteType,depth,date,localTime,licorData,cloudy
STRI,IR,5,5/28/15,11:27:27,1397.6,N
STRI,IR,5,5/28/15,11:27:57,1240.9,N
STRI,IR,5,5/28/15,11:28:27,878.63,N
STRI,IR,5,5/28/15,11:28:57,838.95,N
STRI,IR,5,5/28/15,11:29:27,807.63,N
STRI,IR,5,5/28/15,11:29:57,817.09,N
STRI,IR,5,5/28/15,11:30:27,711.21,N
STRI,IR,5,5/28/15,11:30:57,654.83,N
STRI,IR,5,5/28/15,11:31:27,612.72,N
STRI,IR,5,5/28/15,11:31:57,722.57,N
STRI,IR,5,5/28/15,11:32:27,640.42,N
STRI,IR,5,5/28/15,11:32:57,653.27,N
STRI,IR,5,5/28/15,11:33:27,627.17,N
STRI,IR,5,5/28/15,11:33:57,657.55,N
STRI,IR,5,5/28/15,11:34:27,683.88,N
STRI,IR,5,5/28/15,11:34:57,696.54,N
STRI,IR,5,5/28/15,11:35:27,786.76,N
STRI,IR,5,5/28/15,11:35:57,695.03,N
STRI,IR,5,5/28/15,11:36:27,588.03,N
STRI,IR,5,5/28/15,11:36:57,601.45,N
STRI,IR,5,5/28/15,11:37:27,611.34,N
STRI,IR,5,5/28/15,11:37:57,662.24,N
STRI,IR,5,5/28/15,11:38:27,841.76,N
STRI,IR,5,5/28/15,11:38:57,970.04,N
STRI,IR,5,5/28/15,11:39:27,935.45,N
STRI,IR,5,5/28/15,11:39:57,1197,N
STRI,IR,5,5/28/15,11:40:27,1191.7,N
STRI,IR,5,5/28/15,11:40:57,985.87,N
STRI,IR,5,5/28/15,11:41:27,777.77,N
STRI,IR,5,5/28/15,11:41:57,859.75,N
STRI,IR,5,5/28/15,11:42:27,926.12,N
STRI,IR,5,5/28/15,11:42:57,868.09,N
STRI,IR,5,5/28/15,11:43:27,735.28,N
STRI,IR,5,5/28/15,11:43:57,874.85,N
STRI,IR,5,5/28/15,11:44:27,789.89,N
STRI,IR,5,5/28/15,11:44:57,797.15,N
STRI,IR,5,5/28/15,11:45:27,779.56,N
STRI,IR,5,5/28/15,11:45:57,824.5,N
STRI,IR,5,5/28/15,11:46:27,823.87,N
STRI,IR,5,5/28/15,11:46:57,836.88,N
STRI,IR,5,5/28/15,11:47:27,860.96,N
STRI,IR,5,5/28/15,11:47:57,878.57,N
STRI,IR,5,5/28/15,11:48:27,879.37,N
STRI,IR,5,5/28/15,11:48:57,917,N
STRI,IR,5,5/28/15,11:49:27,813.05,N
STRI,IR,5,5/28/15,11:49:57,976.45,N
STRI,IR,5,5/28/15,11:50:27,966.58,N
STRI,IR,5,5/28/15,11:50:57,757.12,N
STRI,IR,5,5/28/15,11:51:27,653.44,N
STRI,IR,5,5/28/15,11:51:57,611.17,N
STRI,IR,5,5/28/15,11:52:27,603.41,N
STRI,IR,5,5/28/15,11:52:57,758.41,N
STRI,IR,5,5/28/15,11:53:27,705.23,N
STRI,IR,5,5/28/15,11:53:57,672.97,N
STRI,IR,5,5/28/15,11:54:27,697.19,N
STRI,IR,5,5/28/15,11:54:57,706.5,N
STRI,IR,5,5/28/15,11:55:27,741.45,N
STRI,IR,5,5/28/15,11:55:57,974.18,N
STRI,IR,5,5/28/15,11:56:27,775.63,N
STRI,IR,5,5/28/15,11:56:57,841.5,N
STRI,IR,5,5/28/15,11:57:27,718.25,N
STRI,IR,5,5/28/15,11:57:57,719.94,N
STRI,IR,5,5/28/15,11:58:27,696.15,N
