site_number,site_location,date,Max,Min,Mean,Range
IR1,IR,6/15/15,30.243,29.665,29.90985417,0.578
IR1,IR,6/16/15,29.865,29.515,29.73609375,0.35
IR1,IR,6/17/15,29.615,29.14,29.37597917,0.475
IR1,IR,6/18/15,29.865,29.14,29.45258333,0.725
IR1,IR,6/19/15,30.066,29.215,29.66563542,0.851
IR1,IR,6/20/15,29.966,29.34,29.63903125,0.626
IR1,IR,6/21/15,29.79,29.34,29.5603125,0.45
IR1,IR,6/22/15,29.515,29.065,29.389,0.45
IR1,IR,6/23/15,29.54,29.14,29.42257292,0.4
IR1,IR,6/24/15,29.815,29.065,29.445875,0.75
IR1,IR,6/25/15,30.016,29.315,29.648,0.701
IR1,IR,6/26/15,30.268,29.59,29.84177083,0.678
IR1,IR,6/27/15,30.268,29.615,29.93007292,0.653
IR1,IR,6/28/15,30.142,29.49,29.82170833,0.652
IR1,IR,6/29/15,30.016,29.19,29.65125,0.826
IR1,IR,6/30/15,29.765,29.165,29.50007292,0.6
IR1,IR,7/1/15,29.991,29.215,29.55708333,0.776
IR1,IR,7/2/15,30.016,28.916,29.46695833,1.1
IR1,IR,7/3/15,29.89,29.315,29.60159375,0.575
IR1,IR,7/4/15,29.815,29.09,29.43526042,0.725
IR1,IR,7/5/15,30.192,29.04,29.48452083,1.152
IR1,IR,7/6/15,29.865,29.215,29.6031875,0.65
IR1,IR,7/7/15,29.74,28.916,29.345625,0.824
IR1,IR,7/8/15,29.84,28.841,29.22141667,0.999
IR1,IR,7/9/15,29.715,29.19,29.37441667,0.525
IR1,IR,7/10/15,29.84,28.99,29.43461458,0.85
IR1,IR,7/11/15,29.515,28.916,29.270875,0.599
IR1,IR,7/12/15,29.265,28.419,29.03671875,0.846
IR1,IR,7/13/15,29.34,28.642,29.01513542,0.698
IR1,IR,7/14/15,29.464,28.617,29.06314583,0.847
IR1,IR,7/15/15,29.414,28.568,28.97042708,0.846
IR1,IR,7/16/15,29.29,28.518,28.80886458,0.772
IR1,IR,7/17/15,29.19,28.742,28.87067708,0.448
IR1,IR,7/18/15,29.365,28.394,28.95175,0.971
IR1,IR,7/19/15,29.389,28.841,29.04880208,0.548
IR1,IR,7/20/15,29.54,29.015,29.176625,0.525
IR1,IR,7/21/15,29.59,29.015,29.36404167,0.575
IR1,IR,7/22/15,29.665,29.015,29.33358333,0.65
IR1,IR,7/23/15,29.49,29.165,29.28797917,0.325
IR1,IR,7/24/15,29.715,29.215,29.39154167,0.5
IR1,IR,7/25/15,29.966,29.065,29.51184375,0.901
IR1,IR,7/26/15,29.916,29.115,29.60476042,0.801
IR1,IR,7/27/15,30.142,29.19,29.65864583,0.952
IR1,IR,7/28/15,29.59,29.015,29.28152083,0.575
IR1,IR,7/29/15,29.24,28.965,29.0775,0.275
IR1,IR,7/30/15,29.29,28.493,28.89096875,0.797
IR1,IR,7/31/15,29.315,28.667,29.03870833,0.648
IR1,IR,8/1/15,29.015,28.568,28.78646875,0.447
IR1,IR,8/2/15,29.49,28.99,29.17767708,0.5
IR1,IR,8/3/15,29.916,28.941,29.33317708,0.975
IR1,IR,8/4/15,29.64,29.165,29.36961458,0.475
IR1,IR,8/5/15,30.041,28.941,29.44625,1.1
IR1,IR,8/6/15,29.665,29.015,29.3089375,0.65
IR1,IR,8/7/15,29.64,28.717,29.23965625,0.923
IR1,IR,8/8/15,29.84,29.065,29.39646875,0.775
IR1,IR,8/9/15,29.565,29.09,29.25334375,0.475
IR1,IR,8/10/15,29.34,28.891,29.16064583,0.449
IR1,IR,8/11/15,29.991,29.29,29.70091667,0.701
IR1,IR,8/12/15,29.89,29.29,29.68790625,0.6
IR1,IR,8/13/15,29.941,28.965,29.493625,0.976
IR1,IR,8/14/15,29.615,29.215,29.392,0.4
IR1,IR,8/15/15,29.24,28.841,29.1195,0.399
IR1,IR,8/16/15,29.165,28.493,28.87151042,0.672
IR1,IR,8/17/15,28.891,28.419,28.70615625,0.472
IR1,IR,8/18/15,28.891,28.147,28.6701875,0.744
IR1,IR,8/19/15,29.165,27.899,28.66194792,1.266
IR1,IR,8/20/15,29.439,28.841,29.10067708,0.598
IR1,IR,8/21/15,29.09,28.593,28.91803125,0.497
IR1,IR,8/22/15,29.315,28.742,28.99077083,0.573
IR1,IR,8/23/15,29.79,28.99,29.33435417,0.8
IR1,IR,8/24/15,29.515,28.866,29.34023958,0.649
